bin,M_500c,M_hot_gas_500c_mpq,M_hot_gas_500c_mpq-,M_hot_gas_500c_mpq+,T_sl_wo_recent_AGN_500c_mpq,T_sl_wo_recent_AGN_500c_mpq-,T_sl_wo_recent_AGN_500c_mpq+,L_X_ROSAT_obs_wo_recent_AGN_500c_mpq,L_X_ROSAT_obs_wo_recent_AGN_500c_mpq-,L_X_ROSAT_obs_wo_recent_AGN_500c_mpq+,Y_X_500c_mpq,Y_X_500c_mpq-,Y_X_500c_mpq+,Y_SZ_500c_mpq,Y_SZ_500c_mpq-,Y_SZ_500c_mpq+,T_mw_hot_gas_wo_recent_AGN_500c_mpq,T_mw_hot_gas_wo_recent_AGN_500c_mpq-,T_mw_hot_gas_wo_recent_AGN_500c_mpq+,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_mpq,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_mpq-,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_mpq+,T_sl_500c_mpq,T_sl_500c_mpq-,T_sl_500c_mpq+,T_mw_hot_gas_500c_mpq,T_mw_hot_gas_500c_mpq-,T_mw_hot_gas_500c_mpq+,L_X_ROSAT_obs_500c_mpq,L_X_ROSAT_obs_500c_mpq-,L_X_ROSAT_obs_500c_mpq+,L_X_ROSAT_obs_ce_500c_mpq,L_X_ROSAT_obs_ce_500c_mpq-,L_X_ROSAT_obs_ce_500c_mpq+,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_Y_SZ_500c_mpq,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_Y_SZ_500c_mpq-,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_Y_SZ_500c_mpq+
10,13.511588421052632,0.07311080026339555,0.07237684369771084,0.07373786530028867,0.2656678598169753,0.25499491707923705,0.27531626202849474,0.17326397170538965,0.17002385693147357,0.17599061002959288,0.10873086889490693,0.10618804944833524,0.11120444852197421,0.06300173963318281,0.06246545901240445,0.0635543198787072,0.11550559513824576,0.11433800259753758,0.1166556698360667,0.12311856804118063,0.12143994964166019,0.124881585716624,0.526693256519049,0.5165908088074763,0.5375347611610649,0.11620646907375043,0.11518664554563042,0.11733035366710665,0.5415868478507462,0.5332336002757819,0.549624593383761,0.35186556845909445,0.3460502990571775,0.35801376860308637,0.06131474294992699,0.06048084092491643,0.06200777892454265
11,13.562747263157895,0.0728666271519563,0.0720989441447695,0.07369179028417396,0.27116566358323624,0.25912416445618447,0.28155340449346894,0.1682284048972549,0.16417606034583046,0.17199317325584682,0.11023174328440735,0.10703237326020448,0.11291133592128211,0.06149630932990811,0.06098579548393245,0.0620321995956869,0.11409501330400093,0.11283357442481626,0.11528648896833905,0.12140792766394146,0.11965372218530136,0.12326710818520029,0.5159897079728355,0.5047542619550228,0.5273532046703339,0.11473901323990116,0.11354824641788787,0.11608304996119742,0.5234187406450697,0.5153384385820855,0.5325748873566913,0.3483013440542782,0.34103062570289194,0.3549213022042712,0.059820732363654094,0.058906755902697255,0.060471065067737514
12,13.613906105263158,0.07274807799218032,0.071712947046091,0.07367286176356264,0.2756618839774092,0.26210264222525265,0.28797135436918975,0.16449563148519475,0.16041010643362874,0.1686761246297525,0.11202543687679953,0.10828426951244231,0.11571782760531454,0.05996443116673675,0.05936151555263962,0.060640411475095586,0.11303279596278601,0.11173639530621754,0.11447384522433902,0.12055803894705426,0.1184435556408356,0.12268032564759745,0.5051538358426013,0.49262327835672665,0.5195390734684662,0.11358811057164492,0.11231789979684147,0.11495890804245609,0.5085958512000837,0.49848892761532976,0.5189115975179832,0.34308682801412904,0.33465235103007496,0.3501311920938901,0.058161741475737834,0.05710154765470564,0.058963253941733296
13,13.665064947368421,0.07284528244386979,0.07154056946808153,0.07398260247448692,0.28302748831641467,0.2665889783120962,0.299591688545226,0.16108702402872033,0.15639864715038695,0.16577419762857679,0.11400156745784279,0.10987373503425368,0.11838251293720649,0.05861401138528172,0.05791074222344645,0.059324732026423715,0.11248091586076198,0.11086166450304531,0.11414620777275788,0.12049612019685194,0.1179682323858741,0.12312444403970407,0.4980089595191839,0.4818410888691831,0.5139449844941806,0.11288503197047817,0.11129149502229156,0.11450651363828633,0.4951161153546274,0.48356897184712816,0.5059762676614692,0.34050967651308534,0.33256041319462193,0.34854043561070835,0.05664082240550006,0.0553493564636796,0.057721393143941396
14,13.716223789473684,0.07313903132314084,0.07153244538156608,0.07464752838096798,0.2937901964405024,0.27277880487917816,0.31305572784675434,0.1584173888366957,0.15380494284360058,0.1630357889627927,0.11672500971503423,0.11079619954411574,0.12229612152036541,0.05743739492581422,0.05671740968102975,0.05820058476320429,0.11197741197530622,0.11020830400478529,0.1138737298516033,0.12103878973329321,0.11798665781080389,0.12399848820940614,0.492005979544968,0.4724775484888019,0.510932298184749,0.11223934990816489,0.11058165346039976,0.11396477577908565,0.48067752557623356,0.46886033267752386,0.49419293219332466,0.333876407423046,0.32487878778008855,0.342313100033676,0.055486108321249186,0.05387123783097012,0.056598370438931955
15,13.767382631578947,0.07326421162674145,0.071424189659656,0.07493365173239899,0.3079656471887062,0.28022002579629507,0.3347568107784481,0.15567202293078275,0.15053076700512905,0.16035010274845973,0.11914317841682656,0.11177846180640841,0.12612747370923658,0.05625148106871104,0.05526903915136084,0.057227618305313414,0.11206578200176882,0.109804619767647,0.11436966168219316,0.12175256650059546,0.11868685393066049,0.12497467322076755,0.49076218427926344,0.46488161238194464,0.5136863785767949,0.11215666324405249,0.10994218862092889,0.11428410091462954,0.468047422097995,0.4557609668184926,0.4812635515054178,0.3272579931217798,0.31616582878508864,0.33737280946675796,0.054180129741743216,0.052435301671831094,0.055513333490900305
16,13.81854147368421,0.07333850863679353,0.07104843038439955,0.0754819836678465,0.31528927094608233,0.27561830207711324,0.3484320393921848,0.15248793844702252,0.14705490640589997,0.1578635377573181,0.12189643901733288,0.11127244553227714,0.1322031196152777,0.05510997710424591,0.05402627776706527,0.056061271939468194,0.11169924913689491,0.10934190383236934,0.11409564856444032,0.12260271339657869,0.11918979466910794,0.12594895020610322,0.48445785928368024,0.45389166823475274,0.5130743980858254,0.11193982164298354,0.10942338039002639,0.11452103301688792,0.457304480264289,0.44284800587208195,0.47263421589673116,0.31980931164727155,0.30880318986259875,0.3310697747007143,0.05287257304725057,0.05099337011530971,0.05438253854635205
17,13.869700315789474,0.07292102866682991,0.07017029066873806,0.07560432002192885,0.3273591330077576,0.28092345282086245,0.3674533979385796,0.14952297350634108,0.1440288459786276,0.15457481636795004,0.12613449087285916,0.11260741450284961,0.13756250697188172,0.05405939907507665,0.05282006194776876,0.05533323603470801,0.11159417929490001,0.10874708074688208,0.11437413426513655,0.12354935269964978,0.11972328871209924,0.12737768746189504,0.481529237992753,0.44241562641295423,0.5212645214588155,0.11182631414888693,0.10876217500747631,0.11461459317460124,0.4420821213898778,0.4261884601193979,0.4601045853269309,0.3109892938526928,0.2992690790475466,0.32168087358109004,0.052086068612293014,0.04973867492809921,0.05361966503256378
18,13.920859157894737,0.07249730689821185,0.06959634575868011,0.0754035186964461,0.3423279151507965,0.27782010398438206,0.3941532139469741,0.14457872481182865,0.13911857365569216,0.15046235994993368,0.1309891772562615,0.1136845748306568,0.14425879597726757,0.052901621167950386,0.05135466427710214,0.05423832076893093,0.11104314609874916,0.10765689547630998,0.11465726119944311,0.12454401106140116,0.11957713564335685,0.128970276797305,0.4796296541017182,0.4245608661380248,0.5346107894126384,0.11099250672651768,0.10769986044426991,0.11421570695231686,0.42965401271123793,0.4102196718593453,0.4480352423035445,0.3000680224696957,0.28885963481732985,0.31271372213439164,0.05097689702268363,0.048312231450916315,0.052788241116563404
19,13.972018,0.07210844479662445,0.06893947777093236,0.07529792065651846,0.35420682605749343,0.2740048662494448,0.41588125799117565,0.14137559280676026,0.1352987810605043,0.1471066029977624,0.13332032587524112,0.11078134377205688,0.15056023759329243,0.05185266344999202,0.05041395997716066,0.05316307067983148,0.11045377225035538,0.10665392346473761,0.11385554459827582,0.1248974949895271,0.11992205287736954,0.13013308139147764,0.47090050082661705,0.404829653227953,0.5339030796863536,0.11076252013008567,0.10676860754367115,0.1145480905345577,0.412836408597821,0.39146774895873,0.43373591505261816,0.28686309283692324,0.273029440737872,0.3002363979879559,0.04994363568685782,0.047495064737682995,0.051913344377097125
