bin,M_500c,M_hot_gas_500c_T_sl_500c_corr,M_hot_gas_500c_T_sl_500c_corr-,M_hot_gas_500c_T_sl_500c_corr+,M_hot_gas_500c_L_X_ROSAT_obs_500c_corr,M_hot_gas_500c_L_X_ROSAT_obs_500c_corr-,M_hot_gas_500c_L_X_ROSAT_obs_500c_corr+,M_hot_gas_500c_Y_X_500c_corr,M_hot_gas_500c_Y_X_500c_corr-,M_hot_gas_500c_Y_X_500c_corr+,M_hot_gas_500c_Y_SZ_500c_corr,M_hot_gas_500c_Y_SZ_500c_corr-,M_hot_gas_500c_Y_SZ_500c_corr+,T_sl_500c_L_X_ROSAT_obs_500c_corr,T_sl_500c_L_X_ROSAT_obs_500c_corr-,T_sl_500c_L_X_ROSAT_obs_500c_corr+,T_sl_500c_Y_X_500c_corr,T_sl_500c_Y_X_500c_corr-,T_sl_500c_Y_X_500c_corr+,T_sl_500c_Y_SZ_500c_corr,T_sl_500c_Y_SZ_500c_corr-,T_sl_500c_Y_SZ_500c_corr+,L_X_ROSAT_obs_500c_Y_X_500c_corr,L_X_ROSAT_obs_500c_Y_X_500c_corr-,L_X_ROSAT_obs_500c_Y_X_500c_corr+,L_X_ROSAT_obs_500c_Y_SZ_500c_corr,L_X_ROSAT_obs_500c_Y_SZ_500c_corr-,L_X_ROSAT_obs_500c_Y_SZ_500c_corr+,Y_X_500c_Y_SZ_500c_corr,Y_X_500c_Y_SZ_500c_corr-,Y_X_500c_Y_SZ_500c_corr+
10,13.958477894736845,0.4367265162343887,0.4048175746740647,0.4636499965914677,0.6061119104882335,0.5825988985583549,0.6309730890258691,0.7593070935931624,0.7430178199318295,0.7746783776998617,0.8464488507640966,0.835326527357875,0.8581426146501573,0.3738555343989705,0.3359607209784154,0.4083246493851508,0.9168750017189078,0.9091006969198194,0.9234218519169014,0.7238361765824513,0.7022001046800835,0.7433830806807111,0.5381893934612212,0.5121294122050789,0.567585359188849,0.6085071579940255,0.583370498611644,0.6323577373720665,0.8996982608209112,0.8908120354672138,0.9081726562714282
11,14.054325684210529,0.4752138809764815,0.4438967635690651,0.5051029473955155,0.5990832771415462,0.5743197932295024,0.6250720490630444,0.7636113868457826,0.7461693568294384,0.7795542310243005,0.8324218508205388,0.8183160122372692,0.8447763231631733,0.4873224568991777,0.4589400445720656,0.5157358052848009,0.9317719928629684,0.9254103218947668,0.9378098549009576,0.7610423315652874,0.7406311020625059,0.781958485635081,0.6075301542385849,0.5834505486758674,0.6332168829509418,0.6346317873408867,0.6120642505832193,0.6568478146631918,0.903915481676426,0.8950485872010054,0.9121887551880618
12,14.15017347368421,0.5001608716838998,0.4657540575065682,0.5314270423069957,0.5869449447962017,0.5581507208533137,0.6148834833394174,0.7618042753455261,0.7416975072423868,0.7789720785904527,0.8154272434452438,0.8000485789326818,0.8292181898016882,0.5621264116312266,0.5341072582203757,0.591059098040206,0.9426294651610764,0.9370401355838128,0.9478762345585984,0.7905462200570789,0.7713578423740929,0.8082702374978413,0.6488779048725599,0.6238649301702592,0.673498611642992,0.6504392277191803,0.6263016440833898,0.6737972617724698,0.9076121567636376,0.899626474377781,0.9150931061630694
13,14.246021263157896,0.5094246559599733,0.4732667182949045,0.5434951566405968,0.5816999002490216,0.5486124384245565,0.612505882003125,0.751889119618649,0.7309931901748962,0.7720670661201514,0.8006681400623917,0.7821171852595272,0.8163076984385957,0.6075502860986358,0.5815281192855369,0.6347957174250529,0.9507039465753884,0.9457565979736904,0.9555439326018772,0.8112795802074007,0.7945266533103977,0.8279078792289705,0.6741456732648969,0.6487880146127964,0.6998363840065623,0.6630829880174416,0.6389494060161831,0.6905505567080114,0.910169133698026,0.9020463165864206,0.9174969204651434
14,14.34186905263158,0.5068837980160774,0.4659436860010125,0.542768410047722,0.5759823931832038,0.5421003200321259,0.6088511026146061,0.7335396777977776,0.7078426315119217,0.7578164019542254,0.7858494359355792,0.7655307751850701,0.803872148540179,0.6309533535204495,0.6051455242043335,0.6587056263990916,0.9565393357460028,0.9519867216257516,0.9609315486247978,0.8238011991726155,0.8063207107353744,0.8394639562800086,0.6885629226240373,0.6646256716816915,0.7141426043078611,0.674202469654805,0.6474820103193175,0.7002668398513543,0.9131483089967126,0.9036875362278496,0.9211957105441952
15,14.437716842105264,0.4883021387548044,0.4447687328386966,0.530183364393661,0.5731014615042935,0.5337905182487056,0.6087502403165188,0.7071599505165677,0.6785843876027955,0.7359380114167529,0.7761353930137767,0.7516037513677756,0.7978722182210871,0.6409436028380291,0.6119186656474322,0.6690672267061778,0.9611075853531316,0.9567651395780108,0.9652298690359606,0.8293534953130887,0.8103997814109901,0.8454333135763946,0.6973120320438938,0.6736226203437027,0.7231086502494114,0.68143509385272,0.6514568869001487,0.7069110538611979,0.9141091362681903,0.9044359733547652,0.922734063559792
16,14.533564631578948,0.4633828182332593,0.4117417363182702,0.511890604575792,0.5711653009748238,0.5284361457275019,0.6080126631661102,0.6801095787734721,0.6437025589162636,0.7139045340014938,0.7680355621480045,0.7391216909187202,0.7930989197024831,0.6420788476460392,0.6099101450105819,0.6728320892954305,0.9650220437982472,0.960080164440698,0.9688616536016004,0.8300153876573042,0.8115160913105421,0.847983128869503,0.7010428399988781,0.6750737273675569,0.7290291357317074,0.684057124894675,0.6547575953910769,0.7129127078607637,0.9145629306889592,0.9043822233176348,0.924004846615332
17,14.629412421052631,0.4426797134847241,0.3875310041237473,0.4956416837988319,0.5648016441766045,0.5186238556026189,0.6062668207599987,0.6520071960766897,0.6153672247422779,0.6898861548453454,0.7605822773288609,0.7305940325264757,0.7879056415508197,0.6444864748096035,0.6075106257154008,0.6778838707805196,0.9676813200699004,0.9635509278753004,0.9715382641152304,0.8290939204955621,0.8075767185523747,0.848141043323591,0.7026298999007725,0.6713907229816606,0.7324631632005826,0.6836050367660351,0.6500467432829877,0.7159864847322673,0.9126318095580728,0.9022965066962256,0.922657101759686
18,14.725260210526317,0.4221771147562873,0.363486121067454,0.4752096021437104,0.5581706140455371,0.5083710430923188,0.6071995386094181,0.6254997040588548,0.5770717725840633,0.669798494202626,0.7514993731451443,0.7201938888015013,0.7826615960720474,0.64561813489626,0.5990969248293598,0.6824009244730945,0.9704614149491432,0.9666412404062902,0.9739146176071346,0.8224312428204827,0.8002671672872346,0.8435952591326502,0.7007008785170887,0.6631994811174021,0.7324736556887942,0.6777056324967741,0.6334475041436305,0.7143134888060432,0.907298823436284,0.893475039620215,0.9199002326125908
19,14.821108,0.3951522448099702,0.3226467545981274,0.459780162567556,0.5477414586120264,0.4907313319779949,0.597151073575856,0.6013512851523046,0.5468190344707886,0.6489115983149034,0.7438695534698133,0.7038136711220105,0.7795474964406979,0.6390182276779179,0.5947834211004568,0.6802186780984595,0.971983917477902,0.9676635203909708,0.9755786385247156,0.8144046427299324,0.7860699930738212,0.840661921765352,0.696095014366314,0.6555584155482558,0.7352284595647791,0.6638689217414662,0.61244024042794,0.7102758905744871,0.9000830770903563,0.8843608244492545,0.9145437062227832
