bin,M_500c,M_hot_gas_500c_mpq,M_hot_gas_500c_mpq-,M_hot_gas_500c_mpq+,T_sl_wo_recent_AGN_500c_mpq,T_sl_wo_recent_AGN_500c_mpq-,T_sl_wo_recent_AGN_500c_mpq+,L_X_ROSAT_obs_wo_recent_AGN_500c_mpq,L_X_ROSAT_obs_wo_recent_AGN_500c_mpq-,L_X_ROSAT_obs_wo_recent_AGN_500c_mpq+,Y_X_500c_mpq,Y_X_500c_mpq-,Y_X_500c_mpq+,Y_SZ_500c_mpq,Y_SZ_500c_mpq-,Y_SZ_500c_mpq+,T_mw_hot_gas_wo_recent_AGN_500c_mpq,T_mw_hot_gas_wo_recent_AGN_500c_mpq-,T_mw_hot_gas_wo_recent_AGN_500c_mpq+,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_mpq,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_mpq-,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_mpq+,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_Y_SZ_500c_mpq,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_Y_SZ_500c_mpq-,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_Y_SZ_500c_mpq+
10,13.511588421052632,0.07306759262115103,0.07235177787451794,0.07378421508422753,0.2658722308038519,0.2553837238581132,0.2754974133348923,0.17334592874185026,0.17011911480623357,0.17634324688685243,0.10847391676926038,0.10595875589408922,0.11088726174980021,0.06301031661324845,0.06248017376644389,0.0635407865582314,0.11562501414974222,0.114485395646943,0.11658411352907527,0.12310349005453161,0.12152199611073841,0.12476449745191094,0.06132268525864332,0.060406224865871314,0.061957549448151815
11,13.562747263157895,0.07281794106757292,0.07187697390117503,0.07367177798882157,0.2710171028809065,0.2592505170336331,0.28190501465667933,0.16827040938023252,0.16500672047520962,0.1715974031907542,0.1098556853673527,0.10715147714378252,0.11268736678369963,0.06152148270733318,0.06094471758520758,0.06203219914634285,0.11411937041293882,0.11292600783756564,0.11534387108165046,0.1215470553878169,0.11971301130936095,0.12332921527483712,0.05973760886067772,0.05885964130076861,0.06044773138287255
12,13.613906105263158,0.07278730107014204,0.07182135903418355,0.07380989558049,0.2775000946204156,0.2637493063170971,0.2913581276076972,0.16421304846559845,0.16033171725598214,0.16885042911092196,0.11212139791622673,0.10831801550631942,0.11558905674645653,0.059973989122945104,0.059318053022511495,0.06060952611581327,0.11301766047573035,0.11159665660474809,0.11453886714498865,0.12057568885722231,0.11830530845577407,0.12291058489822328,0.05811624263226556,0.056918533041711794,0.05901718259202417
13,13.665064947368421,0.07291193088812137,0.07164144620205008,0.07421371919872702,0.2855066423294288,0.2681370892598296,0.30179151618588934,0.16149705256997232,0.15720364220207467,0.16599317720126855,0.11424450370944433,0.11009921588223377,0.1182662205429969,0.05865654072576271,0.057904817893174594,0.059278129531452735,0.11261595969662025,0.11115984270365668,0.11420805406811435,0.12080356623222195,0.11834268173616101,0.12321096058454406,0.056730688028947006,0.055502423759342265,0.057662335243376286
14,13.716223789473684,0.07291992419441766,0.07145353220951275,0.07444003221127245,0.2945173590951313,0.27159868066338244,0.31346220197207636,0.15843892222654216,0.15331643287306168,0.16339938657996897,0.11721545365400525,0.1112922214452298,0.12292701158684996,0.05736710374023554,0.05664251022613885,0.058137366508031516,0.11208272687082924,0.11022925565335148,0.11395215702724093,0.12102774003919309,0.11840186132142733,0.12359023140136885,0.05543491256010452,0.053910515185257475,0.05656025770190931
15,13.767382631578947,0.07318502542040152,0.07133327701028776,0.07498117126412909,0.302776580252873,0.27509139056765575,0.33109549021224494,0.1558126990163174,0.15048850623429047,0.16113767067359988,0.1196326439157371,0.11296810914843151,0.12645728583742763,0.056286157795672295,0.05536555776156871,0.05716328296806624,0.11186539826124267,0.10986248931446742,0.11399003663401958,0.12168279667026684,0.11873434811182651,0.12492590000034477,0.054117928758049355,0.05239913897151725,0.05546681466492275
16,13.81854147368421,0.07332345484178028,0.07134691935215821,0.07551139054133407,0.3175367423497333,0.2775262963734222,0.3495171703493276,0.15255348681181208,0.14704175993190138,0.15773479741773316,0.12267754690090898,0.11273813607172699,0.1309960104495355,0.055085240477234225,0.0539857489886491,0.056049426137134366,0.11164257002100159,0.10917149076605741,0.11407545765717288,0.12238054806299001,0.11870149123285317,0.1260097315410156,0.05304192616127089,0.05089981333706007,0.05447346276114285
17,13.869700315789474,0.07301931544949572,0.07037447766642453,0.07562273749738087,0.3302814268236146,0.2800719760215484,0.37310650284572333,0.14910179128140172,0.14283232062791903,0.1546145792862365,0.1249458592964109,0.11219063138084591,0.13767156502384217,0.05404788240434169,0.05289235033229021,0.05514419207992763,0.11122168032195048,0.10832276569133732,0.11433602464339909,0.12317183309993082,0.11932332719359966,0.12750067912465782,0.05213212981992735,0.05000450827810455,0.05379707863421232
18,13.920859157894737,0.07242912556874004,0.06966345303991742,0.07522511552300572,0.3413907064588916,0.2784041191377012,0.39860201513840127,0.14551165965494428,0.13912143255711742,0.1511239749294446,0.12943786668112223,0.112929313369308,0.14378364930635018,0.05289010204226462,0.051586502166868324,0.05414270440919371,0.11088580390197386,0.10756736233358069,0.11444050025034226,0.12447326435109328,0.11975290768324784,0.1290400314639209,0.05079363445442425,0.04844637632771446,0.05259758364676952
19,13.972018,0.0718514397748231,0.06844222903147358,0.07524806002426677,0.3525031678969518,0.28339793934058893,0.4157953604461525,0.14137186778047695,0.1354024771490962,0.14696417426290673,0.1319895087785827,0.11183172646139926,0.15163916638926703,0.05176122711763482,0.050339555718888804,0.053159632905945255,0.11017419796690273,0.10617093931338428,0.1139499645410067,0.12473249927690452,0.11952152865576929,0.1295974691611746,0.049957087182268364,0.04731078195397075,0.05183301447354319
