bin,M_500c,M_hot_gas_500c_norm,M_hot_gas_500c_norm-,M_hot_gas_500c_norm+,M_hot_gas_500c_slope,M_hot_gas_500c_slope-,M_hot_gas_500c_slope+,M_hot_gas_500c_scatter,M_hot_gas_500c_scatter-,M_hot_gas_500c_scatter+,T_sl_wo_recent_AGN_500c_norm,T_sl_wo_recent_AGN_500c_norm-,T_sl_wo_recent_AGN_500c_norm+,T_sl_wo_recent_AGN_500c_slope,T_sl_wo_recent_AGN_500c_slope-,T_sl_wo_recent_AGN_500c_slope+,T_sl_wo_recent_AGN_500c_scatter,T_sl_wo_recent_AGN_500c_scatter-,T_sl_wo_recent_AGN_500c_scatter+,L_X_ROSAT_obs_wo_recent_AGN_500c_norm,L_X_ROSAT_obs_wo_recent_AGN_500c_norm-,L_X_ROSAT_obs_wo_recent_AGN_500c_norm+,L_X_ROSAT_obs_wo_recent_AGN_500c_slope,L_X_ROSAT_obs_wo_recent_AGN_500c_slope-,L_X_ROSAT_obs_wo_recent_AGN_500c_slope+,L_X_ROSAT_obs_wo_recent_AGN_500c_scatter,L_X_ROSAT_obs_wo_recent_AGN_500c_scatter-,L_X_ROSAT_obs_wo_recent_AGN_500c_scatter+,Y_X_500c_norm,Y_X_500c_norm-,Y_X_500c_norm+,Y_X_500c_slope,Y_X_500c_slope-,Y_X_500c_slope+,Y_X_500c_scatter,Y_X_500c_scatter-,Y_X_500c_scatter+,Y_SZ_500c_norm,Y_SZ_500c_norm-,Y_SZ_500c_norm+,Y_SZ_500c_slope,Y_SZ_500c_slope-,Y_SZ_500c_slope+,Y_SZ_500c_scatter,Y_SZ_500c_scatter-,Y_SZ_500c_scatter+,T_mw_hot_gas_wo_recent_AGN_500c_norm,T_mw_hot_gas_wo_recent_AGN_500c_norm-,T_mw_hot_gas_wo_recent_AGN_500c_norm+,T_mw_hot_gas_wo_recent_AGN_500c_slope,T_mw_hot_gas_wo_recent_AGN_500c_slope-,T_mw_hot_gas_wo_recent_AGN_500c_slope+,T_mw_hot_gas_wo_recent_AGN_500c_scatter,T_mw_hot_gas_wo_recent_AGN_500c_scatter-,T_mw_hot_gas_wo_recent_AGN_500c_scatter+,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_norm,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_norm-,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_norm+,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_slope,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_slope-,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_slope+,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_scatter,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_scatter-,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_scatter+
10,13.511588421052632,12.354399218344732,12.3535292432581,12.355300228966383,1.3407374955768445,1.3379832641695448,1.343139861810033,0.09803103460216912,0.09708278951022076,0.09894770812550717,7.193015575776364,7.191351610654403,7.194706165813153,0.6286614848608514,0.6240172823660238,0.6331118241440635,0.1674513765699154,0.1607313210469608,0.17439583502066455,43.35009359416751,43.347158197439875,43.352691073500175,2.147678057634721,2.139543439584227,2.1558420070271804,0.372219958455001,0.3654352547999961,0.3785928108079365,19.5474546468537,19.545407030083723,19.549529209738527,1.9691309725865291,1.9632292057889005,1.9746071439745239,0.21377297605444445,0.20893161470100505,0.21875488918514258,19.67426035609072,19.673299849143124,19.675260650120922,1.9452199426693544,1.9422028121628265,1.947644713411836,0.12252548642053562,0.12153018681694829,0.12349621161612997,7.319800279389133,7.319212461389966,7.320433308392735,0.6043554436785397,0.6025569999704009,0.6060532682996395,0.06978277357808477,0.06913818598883009,0.07039129607359199,43.24260836547594,43.24036222792104,43.24486958786794,2.206532598056097,2.2000846475093203,2.2128540123318583,0.27175770583620007,0.2682209509653065,0.2755398197431346
11,13.562747263157895,12.419235912101993,12.418162909729467,12.420266637680571,1.3239875869119317,1.3212155174849942,1.3269662987332789,0.09639889069987898,0.09522809859297646,0.09752019901037566,7.225444225664058,7.223334772660187,7.2271747836290485,0.6291353871188339,0.6233455853953829,0.6344834263714213,0.16987464642666575,0.16289612504800915,0.17687366347360475,43.452349698186666,43.44918281860889,43.455461319053,2.116072027940197,2.1068004632993915,2.1248999453878064,0.3563059983339959,0.349323467069799,0.36395903354829323,19.644482343669466,19.64218015302838,19.646630529252352,1.9529120657393588,1.9463550345961076,1.9591387222110122,0.21534884555393752,0.20967990124892144,0.22087311626335226,19.769374876659036,19.768360726537573,19.770505474293987,1.925863559907464,1.9229101297910542,1.9289821964251335,0.11834088193735279,0.11723263662750025,0.1193611705087387,7.350153959874216,7.349475159538516,7.350880419102354,0.6018719420477914,0.600000312971456,0.6039117935448972,0.06865501137713295,0.06796709201749086,0.06933041181975476,43.34581869595087,43.343210261919495,43.34840129216727,2.163594830399451,2.156142690480729,2.1712735610085114,0.26249005487999355,0.25844729080130274,0.26673189393647956
12,13.613906105263158,12.48310669803692,12.481952035352094,12.484183803146783,1.3075430127828536,1.3043354314096998,1.3106197229568328,0.09509922955499929,0.09378728599884152,0.09653191336595662,7.257153588857446,7.254752916884707,7.25925834613221,0.6274150383388739,0.6208598320366959,0.6335079606329531,0.17424774540415505,0.1661327216497786,0.18239973883927804,43.553059056717366,43.54923828706192,43.55653459781964,2.0833371722165133,2.0730857650284267,2.0923159635999697,0.3426117272768079,0.3346578901661998,0.35105687877965086,19.740199142875767,19.737442906449612,19.74286494881957,1.9351704379024366,1.927674171036486,1.9422842726976315,0.216691501010697,0.20983326342517974,0.2233218879807373,19.863679811344344,19.862385743769277,19.86489090816495,1.9077627776726875,1.9043470388974841,1.910953016082858,0.11438936526443289,0.11322833669972521,0.11561312064489454,7.380529190962024,7.379661680692442,7.381431705481439,0.6001662088366854,0.5978547070234794,0.6023253111215964,0.0678604934213004,0.06710356089977165,0.06863070839814855,43.44640185986718,43.443305837527504,43.449481110939075,2.1207976841350176,2.1125241273124487,2.12958962383972,0.2557957788773664,0.2516214246887932,0.2604511860942635
13,13.665064947368421,12.546120226709196,12.544823911822228,12.547522041212313,1.2914874767352535,1.2880779701913319,1.2953668586478453,0.09404374615048305,0.09243893224902427,0.09561519891938394,7.288500947777324,7.285437284434566,7.291303265574943,0.6242785102526256,0.6164068397962654,0.6323808495460024,0.17844931763647237,0.16884402580028976,0.18863129490984462,43.65146147572605,43.64735695761481,43.65565892183445,2.0499266315357385,2.0388279574291257,2.0606255673855585,0.33073752008888635,0.32149361852522895,0.34021416005656707,19.834755325670162,19.831021641292764,19.83796783734445,1.916447954111892,1.906256384060496,1.9252193470317396,0.21951234626404628,0.21109799465428195,0.22796487353615344,19.9570284562932,19.955644248966955,19.958513346115264,1.8904789489480938,1.886707447586268,1.8945191118523976,0.11091608124837984,0.10962281079569082,0.1122463505736014,7.4109557374409265,7.409989090745652,7.411955591152607,0.5988994265435204,0.5964228309606673,0.6014991306055902,0.0673486793300268,0.06647808987560881,0.06828005275712808,43.54499039680062,43.54142141584992,43.54860215746778,2.0797741018433387,2.0703310551525744,2.0896422544903963,0.2506929268878789,0.24598703143335582,0.25584512847321267
14,13.716223789473684,12.608271699124819,12.606726841786779,12.609961741243465,1.2761357950722525,1.2719458972429019,1.2801581532501223,0.0932362617780449,0.09152525203906715,0.09523094131480622,7.319555502402826,7.315752241046733,7.322954356981187,0.6212659211127077,0.6100130752505853,0.6303990154536083,0.18181864111711915,0.16960119163691703,0.19479209700572775,43.74787505237914,43.74375053801979,43.75288835181113,2.016946848573267,2.0052567207439003,2.029034558788489,0.31977896115239024,0.309811943342321,0.3291029795019663,19.927706700827983,19.923842364372575,19.931442171003436,1.8960592021586167,1.8857592223373025,1.9067653044423079,0.22177671815217515,0.21139269083180381,0.23219519107847794,20.049758073559296,20.048133392452616,20.051478620849576,1.8744498679831323,1.8703026903243096,1.8790808203837523,0.10760288828067263,0.10609588585541439,0.1091021107234535,7.441451903597477,7.440364799199648,7.442580035116817,0.5983752877983817,0.595439296346744,0.601348184313826,0.06700757817742994,0.06595528195508849,0.06813959559832151,43.64222054859037,43.63755218125427,43.64589095100014,2.0425698148663556,2.0301181069904617,2.052469914199136,0.2470494932743011,0.2421171641867877,0.2529955350009332
15,13.767382631578947,12.670066489140417,12.668237778131841,12.671918305490838,1.2625732859916279,1.2575622367905162,1.2670282265662847,0.0922979525880182,0.09008084104155412,0.09480609296873134,7.350373379462087,7.3454901355299915,7.354708706287243,0.61707129095344,0.6042254540735806,0.6282215842750104,0.1854881702867891,0.17111160091874075,0.2029494557516907,43.843616135335104,43.83840527036105,43.84913240952336,1.9865508200460735,1.9739500853038194,2.001453233953294,0.30894832111054105,0.3002531351820872,0.3196709267068659,20.01959630131656,20.014050637225495,20.02434392529791,1.8768682673402248,1.8611355833986105,1.8892696434437477,0.22540471008015672,0.21269662706486578,0.24018039098331523,20.141857368385978,20.140060413309875,20.14400316542208,1.8599353277200152,1.8553468393910466,1.865068256800141,0.10463214463911223,0.10292074532526276,0.10638455631924988,7.471965311926488,7.470695154455997,7.473367049751843,0.5979663222950506,0.5950229169094718,0.601473950255039,0.06698156790353998,0.0657092877912385,0.06817742486384333,43.73738598113075,43.732553271977764,43.74272932403874,2.008072097774054,1.9953842722177537,2.0215894938505063,0.24480535073638898,0.2391006727802831,0.25120910370131627
16,13.81854147368421,12.731228576292974,12.729113729052164,12.733345570143527,1.2496074261392285,1.244509507914092,1.2549041685868272,0.09141237417162272,0.08878260249544952,0.09436373131918563,7.380004979089163,7.373702973386679,7.385691467780548,0.6098063271580993,0.5929007377770061,0.6250003330871994,0.19360504652885274,0.1733726927614564,0.21389310743179182,43.93873470754874,43.93256158107385,43.94460416965633,1.9626647080922404,1.9474636904403737,1.9777627218410319,0.29952028842641754,0.28933348740566717,0.31009355467619326,20.11144425667731,20.104574030930024,20.117522644257466,1.8606021581915744,1.8419536475965725,1.8758262187104833,0.22823322842421123,0.2114806121683869,0.24714719360275453,20.2337264309052,20.23145590458376,20.235962112468492,1.8474450404754106,1.8419233425847243,1.8530648886406338,0.10179336960175678,0.09997705137290067,0.10376089584549238,7.502593099356738,7.500975517762694,7.504175459450763,0.5979167991748198,0.5937915983007063,0.602014192331578,0.066753567559097,0.06536591288360542,0.06820989688375582,43.83344892075627,43.82731600210133,43.83957722368658,1.9828371606724358,1.9677177160291013,1.9980798879027841,0.2430398595133931,0.23623282294643766,0.2504583615672079
17,13.869700315789474,12.792267675820494,12.789923625896295,12.79472257301376,1.239402195131103,1.2335781504725543,1.2453711198162376,0.09076827625526554,0.08769207361782433,0.09386889564876792,7.409836105731981,7.402520984199788,7.416731102754325,0.6046936319297409,0.5853724124813152,0.6225402842059274,0.19747830490446006,0.17250433433290815,0.22478093526138404,44.03396692197855,44.02654195235792,44.04080646952337,1.9439328181399458,1.9256328836873267,1.9598845121780757,0.2899169816379894,0.27951710251280276,0.30121832932961345,20.202010520970745,20.192792092236118,20.209872889057333,1.8433009241009382,1.8204964094081764,1.8642642254760804,0.23195595124821589,0.21083319539843332,0.25585483532735426,20.325309802117417,20.32277021453359,20.327985002957327,1.836723973805027,1.831014722990698,1.8436027186464155,0.09910429216213784,0.09685106412788505,0.10127273005195224,7.533064143557421,7.531035641457897,7.534948527593797,0.5978492102004467,0.5929293330319687,0.602270661845306,0.0666457582398002,0.06491706320418658,0.06846967899947633,43.93019717505175,43.92261035385408,43.9377171553207,1.9656395241914515,1.947320797150809,1.9835010596354343,0.24244564178584027,0.23517748491149568,0.24968244374263318
18,13.920859157894737,12.853336967593888,12.850525609679815,12.85605892399546,1.2306550953206847,1.224848455751383,1.2377539269423947,0.08934266097560821,0.08611398970365329,0.09329515350768681,7.43959169583278,7.430689383437105,7.448323737792865,0.601624238274803,0.5804981739522563,0.6231572692295821,0.20490057213960133,0.17290038328242438,0.2400907783167008,44.12944433279368,44.121561856004185,44.137692464432874,1.9302948718297972,1.911034594363021,1.9506641321926785,0.280391619136694,0.27027149540236345,0.29178443184522584,20.29246582492346,20.28282738338068,20.30139929594415,1.831585357285109,1.8073498528033964,1.8522932982830547,0.23725027413793404,0.2105347032899263,0.2667140959992404,20.4169321991532,20.41395583149931,20.420012115994567,1.8284731870658324,1.8216158237930402,1.8351767131605863,0.09653380107516546,0.09431073377920826,0.09925124974399896,7.5637190512236465,7.561703748213437,7.565885666605176,0.5977800313121082,0.5930615824932641,0.6027169493821327,0.06639156871412966,0.06430495828143921,0.06826933688156198,44.02768569082579,44.01897804340712,44.036804439540596,1.955099154882313,1.934802575315785,1.9780305580462914,0.24354633069433074,0.2354521987803763,0.2521078981506944
19,13.972018,12.914088067357818,12.911063147084068,12.917433996480739,1.223674296396669,1.2166238789116421,1.2309932583301575,0.0881165159248026,0.0844154475719787,0.09248402321282788,7.470113389814254,7.459605261261363,7.4808091136129935,0.6005336483381455,0.5759481893007867,0.6250592542650506,0.21269380988660952,0.1725514463456758,0.2528309553085332,44.227699063363026,44.21763415151899,44.237595255195735,1.9276778828874,1.9029236711188913,1.9536604595158926,0.2725234216049157,0.2615246272697568,0.2847314498415659,20.384787726234347,20.373654102312226,20.39544937700538,1.8255265765557196,1.8001018473582675,1.8505861065337794,0.24287086986178963,0.206836310913271,0.2779043831004145,20.508179344698608,20.504897056185396,20.511580210730035,1.820910135734184,1.8135449310038925,1.8288576678221926,0.09426834585143565,0.0917513447819873,0.09689085115478399,7.59413776764079,7.591784229303042,7.596595824777923,0.5974738961028399,0.5921707026037589,0.602834517227285,0.0657656341540353,0.06368470639713265,0.06816990471475436,44.12774109660256,44.11680164009882,44.138772041427785,1.955648206302668,1.9285938137642504,1.98245282818314,0.2445924399510609,0.23553994094356398,0.25451544761032807
